state,year,CattleDepredation,WolvesKilled,WolfPopulation,BreedingPairs
Montana,1987,6,4,10,2
Montana,1988,0,0,14,1
Montana,1989,3,1,12,1
Montana,1990,5,1,33,3
Montana,1991,2,0,29,2
Montana,1992,1,0,41,4
Montana,1993,0,0,55,4
Montana,1994,6,0,48,5
Montana,1995,3,0,66,6
Montana,1996,10,5,70,7
Montana,1997,19,18,56,5
Montana,1998,10,4,49,5
Montana,1999,20,19,74,7
Montana,2000,14,7,97,8
Montana,2001,12,8,123,7
Montana,2002,20,26,183,17
Montana,2003,24,34,182,10
Montana,2004,36,40,152,15
Montana,2005,23,35,256,19
Montana,2006,32,53,316,21
Montana,2007,75,73,422,39
Montana,2008,77,110,497,34
Montana,2009,97,145,524,37
Montana,2010,87,141,566,35
Montana,2011,74,64,653,39
Montana,2012,67,108,625,37
Wyoming,1995,0,0,21,2
Wyoming,1996,0,0,40,4
Wyoming,1997,2,2,86,9
Wyoming,1998,2,3,112,6
Wyoming,1999,2,1,107,7
Wyoming,2000,3,2,153,12
Wyoming,2001,18,4,189,13
Wyoming,2002,23,6,217,18
Wyoming,2003,34,18,234,16
Wyoming,2004,75,29,272,25
Wyoming,2005,54,41,252,16
Wyoming,2006,123,44,311,25
Wyoming,2007,55,63,359,25
Wyoming,2008,41,46,302,22
Wyoming,2009,20,32,320,27
Wyoming,2010,26,40,343,27
Wyoming,2011,35,37,328,27
Wyoming,2012,44,43,277,21
Idaho,1995,0,0,14,0
Idaho,1996,1,1,42,3
Idaho,1997,1,1,71,6
Idaho,1998,9,0,114,10
Idaho,1999,11,3,156,10
Idaho,2000,15,11,187,10
Idaho,2001,10,7,251,14
Idaho,2002,9,14,263,13
Idaho,2003,6,7,345,28
Idaho,2004,19,17,422,26
Idaho,2005,20,27,512,36
Idaho,2006,29,45,673,41
Idaho,2007,53,50,732,43
Idaho,2008,96,108,856,39
Idaho,2009,75,93,870,49
Idaho,2010,75,78,777,46
Idaho,2011,71,63,768,40
Idaho,2012,73,73,683,35
