"crashON","Fmaj","Fmin"
10,10.0324420190603,9.61137272750565
19,9.49502663320008,10.3832848592111
41,11.0422380885714,10.5362056015772
6,8.90003173643678,10.0546195680132
36,11.1318029961495,10.5495476475757
13,8.68671150189942,10.3417013071848
30,11.0269059412655,9.66673321744407
9,11.161031155804,7.86741199960939
28,11.0670956324392,9.68696506197513
33,10.3677452849977,10.6516983172035
6,8.80425714741166,10.2065467444731
9,10.7752574420917,8.22061200759373
30,10.5169863624865,10.2919902720104
5,11.045208884041,7.30045867771889
15,9.86250204683463,10.545055123972
23,9.45951453029586,10.5713433233383
46,10.9425200170798,10.6240623354837
22,11.0921018336517,9.48126933485855
22,9.90834944573729,9.95584027371773
26,10.6467118287733,10.0471176690778
22,10.6492691569215,9.5031247123354
7,10.6491362092998,9.14234957415103
33,11.0951732697165,10.0008578030636
37,10.624574490304,10.5404338684731
0,10.6229171839113,6.41822644161701
4,10.998524364666,7.33514006984434
25,9.80425549297387,10.5495441666791
47,11.1505565266871,10.432776488256
17,9.78118425215351,10.4128960313345
19,10.9059300695613,9.48269741537273
37,10.9876774235058,10.2318852211121
50,11.1379477161414,10.6525620425861
23,9.89896866785811,10.2665907249224
38,11.1417095098303,10.4238959983239
10,10.8916435562354,8.87838267496221
32,10.8467261412115,9.73258738009312
8,11.0163225585992,8.05022047881035
33,10.5584541577405,10.6572878834734
2,10.9496479018886,7.32239264984442
6,8.90066361348071,9.6591808889116
22,9.78390693773685,10.560299682422
14,9.61597054688213,10.1576520013718
35,11.0854062786493,10.4433947375302
41,10.9907933726672,10.2635700490034
8,8.61865390461115,10.4525418716945
1,10.4623691552232,8.19853709603824
40,10.8778650228999,10.4308285750184
29,11.153754027655,10.0274430079603
29,10.6106064900505,10.5654493772914
35,10.6140877083396,10.4022744973446
30,11.1702364229582,9.94013700531553
3,10.425906029646,8.34247954776124
30,10.5679085240326,10.2034311749503
18,9.39031838864347,10.4955800692282
24,11.0307936938295,9.74747338227679
30,10.6545315845603,10.2680087145462
24,11.1750197242715,9.58614550621724
14,9.81382169240688,10.1699614663888
42,11.0889731276299,10.5087075560622
36,10.9695886676771,10.2637019883905
34,11.1396140600081,9.83319892680156
18,10.815342561527,9.50673598659209
15,10.3095352651474,9.98125368336828
26,10.895011253126,9.97389154847086
31,10.8307836116428,10.0707005483494
26,11.1684343657568,9.84041208997906
36,10.8894789349429,10.4448735920291
17,10.361871081983,9.80476831300726
27,10.7843875158685,10.4627724122133
25,10.605525744567,10.1650947323223
13,8.94370913968405,10.4665282364199
18,10.4074711564171,9.87762606240466
11,11.0972958052351,8.58543336341706
11,9.013020409458,10.4078524042267
0,10.1786208059117,5.68778407231217
10,10.1727033571031,9.77644881577854
37,10.7941668007972,10.4360976149888
27,11.0707332449782,9.64930006456819
29,10.2690317711321,10.3228246692073
24,10.8883147458774,9.45058493909728
18,10.5214245194521,9.96566090275564
10,9.94582131123191,9.47374367047229
20,10.8929744294041,10.0147553975264
8,9.88147831999065,9.90707776017506
4,8.83647450156296,9.39017980969978
19,10.866835970951,9.7367826373862
15,9.29365335787337,10.4142026394214
30,10.7887394674851,9.45944271822522
43,10.9803090730515,10.4590515248329
6,9.68368178082346,9.20411907161373
27,9.99167505221762,10.4454622750831
8,11.0349357570767,8.46457878557604
12,10.6714210585072,9.00676771184676
21,9.68249697108853,10.5278261674223
19,10.5445229884032,10.065609502054
35,11.1596255793294,10.0377845090136
18,9.65701771383437,10.5222265178664
46,10.9379451768077,10.6360058600039
11,9.49384720088072,9.72265614475404
19,10.2598351694353,10.1766735897685
26,9.54841002820747,10.4558174998261
44,11.1384679425216,10.3093014623987
28,10.468527459284,10.1097973595264
10,11.1114440187889,8.14379269429868
6,10.5866596172603,9.19335031707656
15,9.64223655390711,9.90750374495303
7,9.5533227405493,9.0978378749028
21,10.834565451913,9.54333064819424
29,10.9215045461049,10.5456339208182
27,10.401653874062,10.4727814945849
1,9.01733451770402,9.11715184660673
11,10.3600508093833,9.19891755015547
6,9.9579172355745,8.60043873763593
29,10.8178238702879,9.79329958079828
7,10.0084448443332,9.30141914500232
20,9.33759020345108,10.6571363866531
5,11.0746585724844,6.76938385323441
21,10.9905314123589,9.78577222290868
12,9.84874429320142,10.1058431378873
43,10.9449636517786,10.391295235176
8,11.1746045071469,7.88680391001508
24,10.8779142632615,10.1824442363325
9,11.0939804956006,8.75715304597082
23,11.1453688284278,9.24895195523809
15,11.0008895744848,9.4917050259701
32,10.6704710581526,10.5657448566188
21,10.8664154325318,9.36468033216225
27,9.63095533134939,10.4474360764893
17,11.0722209814507,9.4179125570024
18,10.2982586997961,10.1292015840387
40,11.0827190410621,10.0278985540861
44,11.1581243056165,10.1225327259521
13,10.1501627724117,10.1744923903663
11,8.83945457449712,10.3765635548822
29,10.2602845412105,10.1375582364918
57,11.153227090133,10.64455587251
51,10.8417853526005,10.595337945292
38,11.1119573060735,10.4449323657444
16,10.1985482137098,9.65730575487196
24,10.4471716838206,10.1486623038029
13,10.0135138025795,10.1443457899476
21,10.4171507932446,9.72800348569203
4,9.29571196281809,9.71844802369833
20,10.8232527827644,9.48929331576946
32,11.0893891406355,9.93678366560038
1,10.7619990017688,7.77835719614004
10,9.52356612612142,10.3796311333195
53,11.1622783667015,10.480698806704
10,10.352570995745,9.67432343687617
34,10.8451143074916,10.2267126451668
6,9.63220347608996,9.47111699104631
11,10.0640374511368,9.10218178268102
10,10.1353144087561,9.64237833039308
32,10.5230821061772,10.4385927035527
9,8.89072438071002,9.67308828530187
19,10.4827392123133,9.72876700367731
5,10.5788219786541,7.81002829650359
48,11.1117980130638,10.598251014272
32,11.1476729888302,10.2754729271984
30,10.8722116375188,10.0997697265946
44,10.9286143796948,10.5835271476657
37,10.89301867942,10.389427605289
9,10.8765272973965,9.14262656241665
22,10.6306079354692,10.3449372052388
13,10.2953486494501,9.63610746576931
12,10.3928486755953,9.60429022136881
27,10.0231994945585,10.6517420023073
12,10.0782681090535,9.34406668975882
26,10.9685894698887,10.064920372201
23,10.0721989500591,9.65567347444492
27,10.3309367426898,10.5482008182436
0,9.14046446931356,5.94251124276433
19,10.5304989850339,10.218756657337
19,9.97230385312063,10.4628078484125
39,10.4272566370303,10.3366684198571
53,11.1781396507152,10.3817580545693
27,10.2222885602044,10.540301665898
15,9.98018194848012,9.61900226712991
17,9.91240155634621,10.3222552011566
8,10.4160056573782,8.52925416406392
9,10.2716970745532,9.40161923853904
39,10.9441773450302,10.321866182933
46,10.3922901934933,10.5011288076231
17,10.718838500015,9.71807321932898
41,10.7796677881092,10.3678622483487
14,11.1204859087969,8.82169707413297
5,11.0439932128683,8.52144506067678
15,10.0417108194622,9.68232139582277
19,10.3590652278557,10.3255084779079
15,9.84417897124925,10.6058270506018
26,11.1700498857314,9.78013116021881
52,11.1162899186735,10.5286765695453
15,9.64722157758231,10.5042247734264
16,10.6778096303011,9.32077872086396
29,10.2411474726136,10.3387661833173
5,9.95857661677099,9.6790146228951
11,10.3843695168761,9.34452651215139
15,10.8975922038968,9.38389031972732
24,10.8198490815284,9.86976330350274
9,10.2303890181958,8.76515398321044
53,11.0272354450625,10.5892198652248
3,9.18041665238366,9.29051680037644
1,10.6420371836606,5.44804451711304
53,10.8971152101199,10.6544070553057
6,10.1920616783024,8.60244781335048
