id,route,toll,median,female,age3050,distance,householdsize,high_income,med_income,occupanc,trans
1004957,0,1.625,-4.820306,1,1,34.13,10,0,0,3,0
1004960,0,2.9,-2.090106,0,0,43.61,3,0,0,1,0
1004963,0,2.9,-2.566366,0,1,31.67,5,0,0,1,0
1004971,0,1.65,-1.269514,0,1,67.17,4,0,0,1,0
1004978,0,3,-4.558501,0,1,16.51,4,0,0,1,0
1005036,0,3,-4.485382,1,1,54.37,4,0,1,1,0
1005057,0,2.9,-1.262095,1,1,19.29,4,1,0,1,1
1005080,0,1.95,-0.9209437,0,1,39.58,1,0,0,1,0
1005109,1,2.9,-1.982454,1,0,18.57,3,0,0,1,1
1005152,1,1.95,-1.015662,1,1,23.73,5,0,0,2,1
1005262,0,3,-4.002598,1,1,42.19,2,0,1,1,1
1005330,0,3,-1.684477,1,1,41.2,5,0,0,2,1
1005403,0,3.25,-5.305177,1,0,36.88,6,1,0,1,0
1005466,0,3,-4.002799,0,0,37.45,3,0,1,1,1
1005479,0,1.45,-2.099864,1,0,25.76,2,0,1,3,0
1005483,1,0.975,-1.038098,1,1,75.65,4,0,1,3,1
1005514,1,3.25,-5.519444,0,1,25.7,3,0,1,1,1
1005522,1,3,-4.365237,1,0,24.32,2,0,0,1,1
1005649,0,2.9,-1.073091,0,0,35.34,6,0,1,1,0
1005758,0,3,-3.835003,1,1,20.8,3,0,0,2,1
1005796,0,2.9,-2.690468,1,0,19.74,3,0,0,1,0
1005837,0,1.625,-5.34896,1,0,43.14,2,0,1,3,0
1005969,0,1.65,-0.2511979,0,1,39,3,0,1,1,0
1006016,0,3,-3.959366,0,0,30.7,4,0,0,1,0
1006019,0,3,-4.002598,0,1,25.78,3,0,0,1,0
1006031,0,2.9,-2.922082,0,1,34.29,4,0,0,1,0
1006043,1,1.95,-0.9722101,1,0,30.57,2,1,0,1,1
1006237,0,3,-4.346145,0,0,33.33,3,0,1,1,0
1006259,0,3.25,-4.849391,0,1,51.67,4,0,0,1,0
1006309,0,1.65,-0.3577151,1,0,21.22,2,0,0,1,0
1006314,1,3,-4.346145,1,1,29.06,2,0,0,1,1
1006326,0,2.9,-1.95441,0,1,28.04,4,0,1,1,1
1006359,0,2.9,-3.477957,0,1,23.59,4,1,0,1,1
1006390,0,2.9,-2.422315,0,1,27.6,4,0,0,1,0
1006434,1,3.25,-3.33624,0,0,29.66,4,1,0,1,1
1006447,1,3.25,-4.247431,1,1,19.33,5,1,0,1,1
1006448,0,3,-3.874334,0,1,50.84,2,0,0,1,0
1006470,1,2.9,-3.424254,0,0,29.86,6,0,0,2,1
1006489,1,3,-3.81253,1,0,48.63,3,0,1,2,1
1006494,1,2.9,-2.24618,0,0,15.9,2,0,1,1,1
1006497,0,2.9,-3.409326,0,1,36.76,4,1,0,1,0
1006504,1,2.9,-2.14266,1,1,22.92,3,1,0,2,1
1006533,1,1.95,-0.9454573,0,1,25.92,4,1,0,1,1
